observation_date,MEANAGIAK2A052NCEN
1989-01-01,37014
1990-01-01,37778
1991-01-01,37999
1992-01-01,39924
1993-01-01,40184
1994-01-01,41265
1995-01-01,42139
1996-01-01,42955
1997-01-01,45078
1998-01-01,46847
1999-01-01,49902
2000-01-01,52687
2001-01-01,52170
2002-01-01,51742
2003-01-01,52582
2004-01-01,54626
2005-01-01,57023
2006-01-01,60487
2007-01-01,61368
2008-01-01,66567
2009-01-01,62824
2010-01-01,64415
2011-01-01,64913
2012-01-01,69072
2013-01-01,69622
2014-01-01,73920
2015-01-01,75503
2016-01-01,72999
2017-01-01,74446
2018-01-01,78479
2019-01-01,74596
2020-01-01,75858
2021-01-01,89500
2022-01-01,93500
2023-01-01,96000
