observation_date,MEANAGIAL1A052NCEN
1989-01-01,26487
1990-01-01,27300
1991-01-01,27941
1992-01-01,29397
1993-01-01,29846
1994-01-01,31198
1995-01-01,32702
1996-01-01,33677
1997-01-01,34690
1998-01-01,37348
1999-01-01,40067
2000-01-01,41605
2001-01-01,41421
2002-01-01,41717
2003-01-01,42965
2004-01-01,45624
2005-01-01,48493
2006-01-01,51286
2007-01-01,46615
2008-01-01,51095
2009-01-01,48808
2010-01-01,49913
2011-01-01,50677
2012-01-01,54125
2013-01-01,53790
2014-01-01,56079
2015-01-01,57836
2016-01-01,59109
2017-01-01,61451
2018-01-01,64233
2019-01-01,60336
2020-01-01,62986
2021-01-01,75000
2022-01-01,78000
2023-01-01,82000
