observation_date,MEANAGIAR5A052NCEN
1989-01-01,23642
1990-01-01,24422
1991-01-01,25020
1992-01-01,26755
1993-01-01,27160
1994-01-01,28376
1995-01-01,29556
1996-01-01,30560
1997-01-01,32031
1998-01-01,34220
1999-01-01,36826
2000-01-01,38660
2001-01-01,38515
2002-01-01,38642
2003-01-01,39945
2004-01-01,42347
2005-01-01,44213
2006-01-01,45685
2007-01-01,41715
2008-01-01,47253
2009-01-01,46592
2010-01-01,47801
2011-01-01,49249
2012-01-01,54453
2013-01-01,53371
2014-01-01,56429
2015-01-01,57266
2016-01-01,58859
2017-01-01,62534
2018-01-01,63800
2019-01-01,57858
2020-01-01,60399
2021-01-01,74500
2022-01-01,76000
2023-01-01,79500
