observation_date,MEANAGIAZ4A052NCEN
1989-01-01,28538
1990-01-01,29095
1991-01-01,29220
1992-01-01,30629
1993-01-01,31443
1994-01-01,33010
1995-01-01,35060
1996-01-01,37213
1997-01-01,39726
1998-01-01,42763
1999-01-01,47085
2000-01-01,50107
2001-01-01,48297
2002-01-01,47457
2003-01-01,48792
2004-01-01,53399
2005-01-01,58492
2006-01-01,60826
2007-01-01,56686
2008-01-01,55216
2009-01-01,51324
2010-01-01,52792
2011-01-01,53671
2012-01-01,57855
2013-01-01,57275
2014-01-01,59934
2015-01-01,62180
2016-01-01,63199
2017-01-01,67313
2018-01-01,70838
2019-01-01,67070
2020-01-01,71166
2021-01-01,87000
2022-01-01,88500
2023-01-01,92500
