observation_date,MEANAGICA6A052NCEN
1989-01-01,34508
1990-01-01,35594
1991-01-01,35436
1992-01-01,36518
1993-01-01,36746
1994-01-01,37662
1995-01-01,39542
1996-01-01,41714
1997-01-01,44039
1998-01-01,47702
1999-01-01,56481
2000-01-01,64290
2001-01-01,58256
2002-01-01,56380
2003-01-01,58209
2004-01-01,63246
2005-01-01,67391
2006-01-01,70112
2007-01-01,67779
2008-01-01,66887
2009-01-01,62434
2010-01-01,65552
2011-01-01,66860
2012-01-01,74302
2013-01-01,72944
2014-01-01,78415
2015-01-01,82256
2016-01-01,83174
2017-01-01,88880
2018-01-01,94709
2019-01-01,88746
2020-01-01,92513
2021-01-01,117000
2022-01-01,112000
2023-01-01,115000
