observation_date,MEANAGICO8A052NCEN
1989-01-01,30575
1990-01-01,31791
1991-01-01,32491
1992-01-01,34349
1993-01-01,35531
1994-01-01,37020
1995-01-01,39025
1996-01-01,41400
1997-01-01,44416
1998-01-01,48260
1999-01-01,54926
2000-01-01,60451
2001-01-01,57120
2002-01-01,55004
2003-01-01,55823
2004-01-01,60036
2005-01-01,63550
2006-01-01,67933
2007-01-01,66683
2008-01-01,65813
2009-01-01,61228
2010-01-01,64213
2011-01-01,66661
2012-01-01,72131
2013-01-01,70069
2014-01-01,75253
2015-01-01,77424
2016-01-01,78168
2017-01-01,82435
2018-01-01,87961
2019-01-01,84886
2020-01-01,88165
2021-01-01,108000
2022-01-01,106000
2023-01-01,108000
