observation_date,MEANAGIDE10A052NCEN
1989-01-01,33794
1990-01-01,34964
1991-01-01,35565
1992-01-01,36987
1993-01-01,37482
1994-01-01,38310
1995-01-01,40405
1996-01-01,42409
1997-01-01,44769
1998-01-01,47889
1999-01-01,51566
2000-01-01,54712
2001-01-01,53353
2002-01-01,52808
2003-01-01,54265
2004-01-01,58685
2005-01-01,62478
2006-01-01,63545
2007-01-01,60702
2008-01-01,61109
2009-01-01,58501
2010-01-01,59333
2011-01-01,60436
2012-01-01,63891
2013-01-01,63482
2014-01-01,66422
2015-01-01,68128
2016-01-01,68444
2017-01-01,71583
2018-01-01,74773
2019-01-01,71812
2020-01-01,73906
2021-01-01,87500
2022-01-01,88500
2023-01-01,92500
