observation_date,MEANAGIFL12A052NCEN
1989-01-01,29823
1990-01-01,30194
1991-01-01,30022
1992-01-01,31514
1993-01-01,31918
1994-01-01,32899
1995-01-01,34668
1996-01-01,36990
1997-01-01,39232
1998-01-01,42456
1999-01-01,47530
2000-01-01,50605
2001-01-01,48192
2002-01-01,47560
2003-01-01,48387
2004-01-01,53972
2005-01-01,60471
2006-01-01,63065
2007-01-01,58017
2008-01-01,55856
2009-01-01,51093
2010-01-01,50946
2011-01-01,52715
2012-01-01,60476
2013-01-01,58783
2014-01-01,63897
2015-01-01,66569
2016-01-01,64872
2017-01-01,71072
2018-01-01,76923
2019-01-01,73849
2020-01-01,77677
2021-01-01,98000
2022-01-01,104000
2023-01-01,101000
