observation_date,MEANAGIGA13A052NCEN
1989-01-01,29658
1990-01-01,30674
1991-01-01,30973
1992-01-01,32644
1993-01-01,33287
1994-01-01,34536
1995-01-01,36384
1996-01-01,38458
1997-01-01,40180
1998-01-01,43797
1999-01-01,47714
2000-01-01,50469
2001-01-01,49371
2002-01-01,48218
2003-01-01,48821
2004-01-01,51529
2005-01-01,54040
2006-01-01,56632
2007-01-01,53282
2008-01-01,52207
2009-01-01,49091
2010-01-01,50190
2011-01-01,50996
2012-01-01,56768
2013-01-01,56574
2014-01-01,60680
2015-01-01,62716
2016-01-01,63947
2017-01-01,68137
2018-01-01,71697
2019-01-01,66777
2020-01-01,70048
2021-01-01,83500
2022-01-01,86000
2023-01-01,88000
