observation_date,MEANAGIIA19A052NCEN
1989-01-01,27573
1990-01-01,28664
1991-01-01,29171
1992-01-01,30829
1993-01-01,31432
1994-01-01,32793
1995-01-01,34571
1996-01-01,36425
1997-01-01,38774
1998-01-01,41178
1999-01-01,43737
2000-01-01,45403
2001-01-01,44474
2002-01-01,44503
2003-01-01,45588
2004-01-01,48477
2005-01-01,50334
2006-01-01,52718
2007-01-01,51027
2008-01-01,55071
2009-01-01,53042
2010-01-01,55402
2011-01-01,57402
2012-01-01,62760
2013-01-01,61706
2014-01-01,64485
2015-01-01,65341
2016-01-01,65634
2017-01-01,68229
2018-01-01,71598
2019-01-01,68535
2020-01-01,70348
2021-01-01,82000
2022-01-01,87000
2023-01-01,90000
