observation_date,MEANAGIIN18A052NCEN
1989-01-01,29381
1990-01-01,30342
1991-01-01,30928
1992-01-01,32759
1993-01-01,33866
1994-01-01,35362
1995-01-01,36888
1996-01-01,38423
1997-01-01,40458
1998-01-01,43325
1999-01-01,45726
2000-01-01,47323
2001-01-01,46309
2002-01-01,46078
2003-01-01,47039
2004-01-01,49383
2005-01-01,50934
2006-01-01,52350
2007-01-01,50610
2008-01-01,51980
2009-01-01,49691
2010-01-01,51568
2011-01-01,52877
2012-01-01,56098
2013-01-01,56123
2014-01-01,58430
2015-01-01,60221
2016-01-01,61605
2017-01-01,63875
2018-01-01,66857
2019-01-01,63792
2020-01-01,64916
2021-01-01,77500
2022-01-01,80000
2023-01-01,83500
