observation_date,MEANAGIKY21A052NCEN
1989-01-01,26330
1990-01-01,27278
1991-01-01,27697
1992-01-01,29384
1993-01-01,29937
1994-01-01,30898
1995-01-01,32378
1996-01-01,33724
1997-01-01,35441
1998-01-01,37877
1999-01-01,40279
2000-01-01,42204
2001-01-01,41832
2002-01-01,41786
2003-01-01,42804
2004-01-01,45159
2005-01-01,46975
2006-01-01,48825
2007-01-01,44391
2008-01-01,49266
2009-01-01,47712
2010-01-01,49535
2011-01-01,50076
2012-01-01,53015
2013-01-01,52800
2014-01-01,55531
2015-01-01,57391
2016-01-01,58013
2017-01-01,60007
2018-01-01,63815
2019-01-01,57513
2020-01-01,59493
2021-01-01,71000
2022-01-01,74500
2023-01-01,78000
