observation_date,MEANAGILA22A052NCEN
1989-01-01,25320
1990-01-01,26372
1991-01-01,27091
1992-01-01,28186
1993-01-01,28782
1994-01-01,29891
1995-01-01,31103
1996-01-01,32765
1997-01-01,34049
1998-01-01,36335
1999-01-01,38313
2000-01-01,40306
2001-01-01,40476
2002-01-01,40226
2003-01-01,40870
2004-01-01,41959
2005-01-01,45473
2006-01-01,50621
2007-01-01,45507
2008-01-01,54717
2009-01-01,50858
2010-01-01,52330
2011-01-01,52267
2012-01-01,57345
2013-01-01,57710
2014-01-01,60770
2015-01-01,59348
2016-01-01,58987
2017-01-01,60861
2018-01-01,64423
2019-01-01,58577
2020-01-01,57477
2021-01-01,71000
2022-01-01,74500
2023-01-01,76000
