observation_date,MEANAGIMA25A052NCEN
1989-01-01,36098
1990-01-01,36574
1991-01-01,36984
1992-01-01,38828
1993-01-01,39763
1994-01-01,40956
1995-01-01,43853
1996-01-01,46722
1997-01-01,49777
1998-01-01,54231
1999-01-01,62871
2000-01-01,72819
2001-01-01,66105
2002-01-01,62748
2003-01-01,64441
2004-01-01,69390
2005-01-01,73566
2006-01-01,77865
2007-01-01,76881
2008-01-01,77833
2009-01-01,73585
2010-01-01,79284
2011-01-01,81100
2012-01-01,86835
2013-01-01,86621
2014-01-01,93036
2015-01-01,95326
2016-01-01,95714
2017-01-01,102738
2018-01-01,106720
2019-01-01,104436
2020-01-01,108015
2021-01-01,134000
2022-01-01,126000
2023-01-01,130000
