observation_date,MEANAGIMD24A052NCEN
1989-01-01,36545
1990-01-01,37580
1991-01-01,38038
1992-01-01,39485
1993-01-01,40137
1994-01-01,41536
1995-01-01,43241
1996-01-01,45304
1997-01-01,46871
1998-01-01,51141
1999-01-01,56091
2000-01-01,60495
2001-01-01,59066
2002-01-01,59048
2003-01-01,60960
2004-01-01,65665
2005-01-01,69109
2006-01-01,72399
2007-01-01,71411
2008-01-01,71862
2009-01-01,70675
2010-01-01,72719
2011-01-01,73939
2012-01-01,77194
2013-01-01,75152
2014-01-01,78535
2015-01-01,80503
2016-01-01,81549
2017-01-01,84820
2018-01-01,88181
2019-01-01,85206
2020-01-01,87707
2021-01-01,102000
2022-01-01,101000
2023-01-01,106000
