observation_date,MEANAGIMN27A052NCEN
1989-01-01,32215
1990-01-01,33241
1991-01-01,33928
1992-01-01,36231
1993-01-01,36829
1994-01-01,38175
1995-01-01,40542
1996-01-01,43574
1997-01-01,45423
1998-01-01,49301
1999-01-01,53625
2000-01-01,57358
2001-01-01,55346
2002-01-01,54777
2003-01-01,56352
2004-01-01,59645
2005-01-01,62181
2006-01-01,62766
2007-01-01,63082
2008-01-01,64797
2009-01-01,60781
2010-01-01,64604
2011-01-01,66065
2012-01-01,71711
2013-01-01,70960
2014-01-01,74866
2015-01-01,77389
2016-01-01,77510
2017-01-01,80835
2018-01-01,84037
2019-01-01,81835
2020-01-01,84040
2021-01-01,99500
2022-01-01,98500
2023-01-01,102000
