observation_date,MEANAGIMO29A052NCEN
1989-01-01,29180
1990-01-01,29861
1991-01-01,30244
1992-01-01,31880
1993-01-01,32515
1994-01-01,33741
1995-01-01,35398
1996-01-01,37150
1997-01-01,39080
1998-01-01,41922
1999-01-01,44668
2000-01-01,47155
2001-01-01,46162
2002-01-01,45627
2003-01-01,46394
2004-01-01,48813
2005-01-01,51152
2006-01-01,52263
2007-01-01,50879
2008-01-01,54820
2009-01-01,51590
2010-01-01,53682
2011-01-01,54484
2012-01-01,58539
2013-01-01,58036
2014-01-01,61101
2015-01-01,62645
2016-01-01,63372
2017-01-01,65480
2018-01-01,69538
2019-01-01,65795
2020-01-01,67404
2021-01-01,80500
2022-01-01,82500
2023-01-01,87000
