observation_date,MEANAGIMS28A052NCEN
1989-01-01,22466
1990-01-01,23167
1991-01-01,23567
1992-01-01,24797
1993-01-01,25410
1994-01-01,26749
1995-01-01,27910
1996-01-01,29197
1997-01-01,30269
1998-01-01,32528
1999-01-01,34796
2000-01-01,36287
2001-01-01,36406
2002-01-01,36472
2003-01-01,37560
2004-01-01,38640
2005-01-01,40503
2006-01-01,42727
2007-01-01,38491
2008-01-01,44082
2009-01-01,42378
2010-01-01,42861
2011-01-01,43402
2012-01-01,46808
2013-01-01,47411
2014-01-01,49190
2015-01-01,49976
2016-01-01,50925
2017-01-01,51818
2018-01-01,53959
2019-01-01,50406
2020-01-01,51269
2021-01-01,60500
2022-01-01,65500
2023-01-01,68000
