observation_date,MEANAGIMT30A052NCEN
1989-01-01,23970
1990-01-01,24850
1991-01-01,25452
1992-01-01,27112
1993-01-01,27992
1994-01-01,28496
1995-01-01,29110
1996-01-01,30121
1997-01-01,32024
1998-01-01,33868
1999-01-01,36169
2000-01-01,38964
2001-01-01,38253
2002-01-01,38278
2003-01-01,39480
2004-01-01,42057
2005-01-01,44812
2006-01-01,47902
2007-01-01,47244
2008-01-01,48504
2009-01-01,46810
2010-01-01,48505
2011-01-01,49984
2012-01-01,55821
2013-01-01,54679
2014-01-01,59248
2015-01-01,59798
2016-01-01,59444
2017-01-01,63142
2018-01-01,66409
2019-01-01,64956
2020-01-01,69443
2021-01-01,87500
2022-01-01,87000
2023-01-01,90000
