observation_date,MEANAGIND38A052NCEN
1989-01-01,24727
1990-01-01,26058
1991-01-01,26768
1992-01-01,28519
1993-01-01,29589
1994-01-01,30071
1995-01-01,31327
1996-01-01,32710
1997-01-01,34219
1998-01-01,35954
1999-01-01,37948
2000-01-01,40813
2001-01-01,40539
2002-01-01,40560
2003-01-01,42285
2004-01-01,45019
2005-01-01,46820
2006-01-01,49956
2007-01-01,50263
2008-01-01,57323
2009-01-01,55023
2010-01-01,60980
2011-01-01,66261
2012-01-01,77336
2013-01-01,74719
2014-01-01,79315
2015-01-01,74353
2016-01-01,71012
2017-01-01,72781
2018-01-01,78165
2019-01-01,77638
2020-01-01,77758
2021-01-01,96000
2022-01-01,96500
2023-01-01,104000
