observation_date,MEANAGINE31A052NCEN
1989-01-01,27794
1990-01-01,29021
1991-01-01,29266
1992-01-01,30944
1993-01-01,31636
1994-01-01,32637
1995-01-01,34590
1996-01-01,36638
1997-01-01,39074
1998-01-01,42379
1999-01-01,45068
2000-01-01,47844
2001-01-01,46036
2002-01-01,45376
2003-01-01,46618
2004-01-01,49797
2005-01-01,51271
2006-01-01,54398
2007-01-01,53615
2008-01-01,56164
2009-01-01,53682
2010-01-01,57393
2011-01-01,58312
2012-01-01,64915
2013-01-01,62726
2014-01-01,67294
2015-01-01,66799
2016-01-01,66671
2017-01-01,69146
2018-01-01,72694
2019-01-01,71085
2020-01-01,74233
2021-01-01,88500
2022-01-01,91000
2023-01-01,93500
