observation_date,MEANAGINH33A052NCEN
1989-01-01,34517
1990-01-01,34635
1991-01-01,34876
1992-01-01,36786
1993-01-01,37057
1994-01-01,38077
1995-01-01,40494
1996-01-01,43015
1997-01-01,46625
1998-01-01,50266
1999-01-01,55352
2000-01-01,61931
2001-01-01,57191
2002-01-01,55456
2003-01-01,56804
2004-01-01,60760
2005-01-01,63798
2006-01-01,67338
2007-01-01,65271
2008-01-01,66465
2009-01-01,64204
2010-01-01,67568
2011-01-01,68289
2012-01-01,71909
2013-01-01,71691
2014-01-01,75642
2015-01-01,77923
2016-01-01,80079
2017-01-01,83678
2018-01-01,87628
2019-01-01,86877
2020-01-01,91342
2021-01-01,112000
2022-01-01,111000
2023-01-01,115000
