observation_date,MEANAGIOH39A052NCEN
1989-01-01,29251
1990-01-01,29903
1991-01-01,30255
1992-01-01,31631
1993-01-01,32416
1994-01-01,33506
1995-01-01,35152
1996-01-01,36634
1997-01-01,38662
1998-01-01,41478
1999-01-01,44184
2000-01-01,46150
2001-01-01,45065
2002-01-01,45169
2003-01-01,45974
2004-01-01,48666
2005-01-01,50320
2006-01-01,52465
2007-01-01,49940
2008-01-01,52514
2009-01-01,50281
2010-01-01,52572
2011-01-01,54196
2012-01-01,58099
2013-01-01,57707
2014-01-01,60710
2015-01-01,62151
2016-01-01,62807
2017-01-01,65212
2018-01-01,68858
2019-01-01,65451
2020-01-01,67014
2021-01-01,79000
2022-01-01,81000
2023-01-01,85000
