observation_date,MEANAGIRI44A052NCEN
1989-01-01,31835
1990-01-01,32472
1991-01-01,32582
1992-01-01,34194
1993-01-01,34623
1994-01-01,35566
1995-01-01,37335
1996-01-01,38734
1997-01-01,41322
1998-01-01,44273
1999-01-01,47814
2000-01-01,51930
2001-01-01,50718
2002-01-01,50590
2003-01-01,52324
2004-01-01,56030
2005-01-01,57673
2006-01-01,59445
2007-01-01,57111
2008-01-01,59854
2009-01-01,57443
2010-01-01,59739
2011-01-01,61579
2012-01-01,64125
2013-01-01,63957
2014-01-01,67658
2015-01-01,68226
2016-01-01,69295
2017-01-01,72185
2018-01-01,74841
2019-01-01,72002
2020-01-01,73994
2021-01-01,88500
2022-01-01,90000
2023-01-01,92500
