observation_date,MEANAGISD46A052NCEN
1989-01-01,24030
1990-01-01,25620
1991-01-01,25988
1992-01-01,27712
1993-01-01,28902
1994-01-01,29489
1995-01-01,30831
1996-01-01,32507
1997-01-01,34592
1998-01-01,36743
1999-01-01,41192
2000-01-01,42939
2001-01-01,41698
2002-01-01,41380
2003-01-01,42738
2004-01-01,46153
2005-01-01,48574
2006-01-01,51700
2007-01-01,50369
2008-01-01,53563
2009-01-01,52083
2010-01-01,54239
2011-01-01,56230
2012-01-01,62860
2013-01-01,61181
2014-01-01,66137
2015-01-01,66867
2016-01-01,65972
2017-01-01,66260
2018-01-01,73361
2019-01-01,69677
2020-01-01,77617
2021-01-01,91500
2022-01-01,93000
2023-01-01,96500
