observation_date,MEANAGITX48A052NCEN
1989-01-01,28727
1990-01-01,29720
1991-01-01,30095
1992-01-01,31514
1993-01-01,31975
1994-01-01,32840
1995-01-01,34472
1996-01-01,36354
1997-01-01,38436
1998-01-01,41927
1999-01-01,47190
2000-01-01,51092
2001-01-01,49461
2002-01-01,47848
2003-01-01,48983
2004-01-01,52080
2005-01-01,56027
2006-01-01,59982
2007-01-01,57135
2008-01-01,61758
2009-01-01,56424
2010-01-01,59807
2011-01-01,62306
2012-01-01,68698
2013-01-01,66590
2014-01-01,71724
2015-01-01,71156
2016-01-01,68488
2017-01-01,74182
2018-01-01,77935
2019-01-01,73932
2020-01-01,73595
2021-01-01,91500
2022-01-01,96000
2023-01-01,97000
