observation_date,MEANAGIUT49A052NCEN
1989-01-01,28931
1990-01-01,29956
1991-01-01,30723
1992-01-01,32516
1993-01-01,33501
1994-01-01,35144
1995-01-01,37004
1996-01-01,38875
1997-01-01,41183
1998-01-01,43141
1999-01-01,46800
2000-01-01,49373
2001-01-01,47562
2002-01-01,47030
2003-01-01,47891
2004-01-01,50885
2005-01-01,54674
2006-01-01,59134
2007-01-01,58968
2008-01-01,57252
2009-01-01,54308
2010-01-01,55617
2011-01-01,56820
2012-01-01,63207
2013-01-01,62331
2014-01-01,65952
2015-01-01,68096
2016-01-01,70413
2017-01-01,73477
2018-01-01,77958
2019-01-01,77385
2020-01-01,81548
2021-01-01,101000
2022-01-01,99000
2023-01-01,101000
