observation_date,MEANAGIWI55A052NCEN
1989-01-01,29860
1990-01-01,31177
1991-01-01,31703
1992-01-01,33889
1993-01-01,34836
1994-01-01,36390
1995-01-01,38138
1996-01-01,40251
1997-01-01,42609
1998-01-01,45551
1999-01-01,48362
2000-01-01,50944
2001-01-01,49619
2002-01-01,49253
2003-01-01,50391
2004-01-01,52917
2005-01-01,54921
2006-01-01,56725
2007-01-01,55179
2008-01-01,57245
2009-01-01,54160
2010-01-01,56773
2011-01-01,57984
2012-01-01,61599
2013-01-01,61346
2014-01-01,64591
2015-01-01,66439
2016-01-01,67557
2017-01-01,69836
2018-01-01,73515
2019-01-01,72099
2020-01-01,72923
2021-01-01,86000
2022-01-01,87500
2023-01-01,92000
