observation_date,MEHOINUSAZA672N
1984-01-01,57750
1985-01-01,62240
1986-01-01,65400
1987-01-01,66360
1988-01-01,63240
1989-01-01,65430
1990-01-01,63870
1991-01-01,64820
1992-01-01,60380
1993-01-01,61230
1994-01-01,61460
1995-01-01,59210
1996-01-01,59140
1997-01-01,59910
1998-01-01,66960
1999-01-01,65440
2000-01-01,68020
2001-01-01,71410
2002-01-01,65620
2003-01-01,66600
2004-01-01,69200
2005-01-01,69400
2006-01-01,69550
2007-01-01,68620
2008-01-01,65770
2009-01-01,64380
2010-01-01,65120
2011-01-01,65480
2012-01-01,62160
2013-01-01,68680
2014-01-01,63390
2015-01-01,67300
2016-01-01,72900
2017-01-01,74900
2018-01-01,76600
2019-01-01,85650
2020-01-01,80470
2021-01-01,81310
2022-01-01,78300
2023-01-01,84800
2024-01-01,84700
