observation_date,MEHOINUSCOA672N
1984-01-01,69550
1985-01-01,73470
1986-01-01,69740
1987-01-01,65680
1988-01-01,62710
1989-01-01,61430
1990-01-01,67170
1991-01-01,66430
1992-01-01,66810
1993-01-01,69210
1994-01-01,74300
1995-01-01,78100
1996-01-01,76550
1997-01-01,79120
1998-01-01,84130
1999-01-01,85210
2000-01-01,82480
2001-01-01,82600
2002-01-01,79760
2003-01-01,80790
2004-01-01,80310
2005-01-01,77380
2006-01-01,83020
2007-01-01,88860
2008-01-01,85440
2009-01-01,78730
2010-01-01,83640
2011-01-01,78960
2012-01-01,75650
2013-01-01,88650
2014-01-01,78430
2015-01-01,85780
2016-01-01,90090
2017-01-01,94080
2018-01-01,89820
2019-01-01,87870
2020-01-01,100500
2021-01-01,97540
2022-01-01,95870
2023-01-01,99140
2024-01-01,106500
