observation_date,MEHOINUSGAA672N
1984-01-01,53870
1985-01-01,54870
1986-01-01,62500
1987-01-01,66270
1988-01-01,63550
1989-01-01,63120
1990-01-01,60230
1991-01-01,57390
1992-01-01,59220
1993-01-01,63540
1994-01-01,61800
1995-01-01,65420
1996-01-01,60740
1997-01-01,67090
1998-01-01,69810
1999-01-01,69730
2000-01-01,71640
2001-01-01,71190
2002-01-01,70910
2003-01-01,68660
2004-01-01,64680
2005-01-01,70440
2006-01-01,73550
2007-01-01,70690
2008-01-01,64810
2009-01-01,61000
2010-01-01,61260
2011-01-01,61910
2012-01-01,63580
2013-01-01,61340
2014-01-01,63780
2015-01-01,65390
2016-01-01,68340
2017-01-01,72750
2018-01-01,68650
2019-01-01,68630
2020-01-01,71090
2021-01-01,70610
2022-01-01,72200
2023-01-01,74290
2024-01-01,81210
