observation_date,MEHOINUSILA672N
1984-01-01,64020
1985-01-01,64830
1986-01-01,67990
1987-01-01,67190
1988-01-01,70630
1989-01-01,71730
1990-01-01,71120
1991-01-01,67240
1992-01-01,64890
1993-01-01,65940
1994-01-01,68900
1995-01-01,73040
1996-01-01,73940
1997-01-01,75550
1998-01-01,77950
1999-01-01,81950
2000-01-01,78760
2001-01-01,77200
2002-01-01,70540
2003-01-01,73050
2004-01-01,72720
2005-01-01,74240
2006-01-01,72550
2007-01-01,76310
2008-01-01,74660
2009-01-01,74420
2010-01-01,70440
2011-01-01,68190
2012-01-01,68360
2013-01-01,70410
2014-01-01,70680
2015-01-01,77810
2016-01-01,78370
2017-01-01,82770
2018-01-01,86270
2019-01-01,90170
2020-01-01,89160
2021-01-01,90990
2022-01-01,83170
2023-01-01,90090
2024-01-01,84210
