observation_date,MEHOINUSMDA672N
1984-01-01,80080
1985-01-01,78560
1986-01-01,78490
1987-01-01,86750
1988-01-01,87440
1989-01-01,82540
1990-01-01,84920
1991-01-01,77930
1992-01-01,76510
1993-01-01,80150
1994-01-01,76980
1995-01-01,78740
1996-01-01,82230
1997-01-01,85430
1998-01-01,90300
1999-01-01,92340
2000-01-01,93240
2001-01-01,89510
2002-01-01,93160
2003-01-01,84630
2004-01-01,90120
2005-01-01,92820
2006-01-01,94900
2007-01-01,95380
2008-01-01,89320
2009-01-01,90350
2010-01-01,89150
2011-01-01,92760
2012-01-01,94910
2013-01-01,90530
2014-01-01,98030
2015-01-01,94790
2016-01-01,94170
2017-01-01,103000
2018-01-01,106000
2019-01-01,115800
2020-01-01,113700
2021-01-01,111700
2022-01-01,115400
2023-01-01,104600
2024-01-01,109700
