observation_date,MEHOINUSMEA672N
1984-01-01,55660
1985-01-01,53490
1986-01-01,60080
1987-01-01,58550
1988-01-01,63160
1989-01-01,64670
1990-01-01,60020
1991-01-01,58770
1992-01-01,60910
1993-01-01,55070
1994-01-01,59540
1995-01-01,64960
1996-01-01,64860
1997-01-01,59970
1998-01-01,64340
1999-01-01,68740
2000-01-01,63720
2001-01-01,61220
2002-01-01,60860
2003-01-01,60040
2004-01-01,65230
2005-01-01,67370
2006-01-01,68030
2007-01-01,69610
2008-01-01,66210
2009-01-01,66860
2010-01-01,66550
2011-01-01,66920
2012-01-01,64950
2013-01-01,71740
2014-01-01,66560
2015-01-01,65380
2016-01-01,64930
2017-01-01,66890
2018-01-01,72150
2019-01-01,80650
2020-01-01,76400
2021-01-01,81680
2022-01-01,80130
2023-01-01,77700
2024-01-01,90730
