observation_date,MEHOINUSMSA672N
1984-01-01,41590
1985-01-01,42790
1986-01-01,42350
1987-01-01,45930
1988-01-01,43460
1989-01-01,45640
1990-01-01,44100
1991-01-01,41070
1992-01-01,42300
1993-01-01,44540
1994-01-01,49880
1995-01-01,50920
1996-01-01,49870
1997-01-01,52150
1998-01-01,52570
1999-01-01,57450
2000-01-01,58640
2001-01-01,50430
2002-01-01,51000
2003-01-01,52950
2004-01-01,54850
2005-01-01,50430
2006-01-01,51770
2007-01-01,54180
2008-01-01,51090
2009-01-01,49380
2010-01-01,52990
2011-01-01,55340
2012-01-01,48410
2013-01-01,42210
2014-01-01,45720
2015-01-01,51570
2016-01-01,52470
2017-01-01,54300
2018-01-01,52620
2019-01-01,54280
2020-01-01,54140
2021-01-01,53550
2022-01-01,51820
2023-01-01,56490
2024-01-01,55980
