observation_date,MEHOINUSMTA672N
1984-01-01,52660
1985-01-01,52750
1986-01-01,52140
1987-01-01,50790
1988-01-01,53180
1989-01-01,54300
1990-01-01,51090
1991-01-01,52360
1992-01-01,54550
1993-01-01,53120
1994-01-01,54270
1995-01-01,53250
1996-01-01,53620
1997-01-01,53460
1998-01-01,57010
1999-01-01,54900
2000-01-01,56040
2001-01-01,53720
2002-01-01,57530
2003-01-01,55180
2004-01-01,53590
2005-01-01,57230
2006-01-01,61270
2007-01-01,63450
2008-01-01,60140
2009-01-01,56920
2010-01-01,57320
2011-01-01,54240
2012-01-01,59570
2013-01-01,56390
2014-01-01,65770
2015-01-01,66200
2016-01-01,72870
2017-01-01,72030
2018-01-01,70940
2019-01-01,72950
2020-01-01,68060
2021-01-01,74630
2022-01-01,77790
2023-01-01,81270
2024-01-01,81920
