observation_date,MEHOINUSNDA672N
1984-01-01,55990
1985-01-01,55280
1986-01-01,55160
1987-01-01,56010
1988-01-01,57640
1989-01-01,57820
1990-01-01,55210
1991-01-01,54600
1992-01-01,55440
1993-01-01,56430
1994-01-01,55540
1995-01-01,55810
1996-01-01,58820
1997-01-01,57940
1998-01-01,54710
1999-01-01,57770
2000-01-01,61550
2001-01-01,59850
2002-01-01,59780
2003-01-01,65380
2004-01-01,61900
2005-01-01,64720
2006-01-01,61180
2007-01-01,68600
2008-01-01,69580
2009-01-01,70480
2010-01-01,70820
2011-01-01,75900
2012-01-01,73680
2013-01-01,77220
2014-01-01,78160
2015-01-01,73950
2016-01-01,76840
2017-01-01,75490
2018-01-01,81790
2019-01-01,84870
2020-01-01,76900
2021-01-01,79090
2022-01-01,83910
2023-01-01,78950
2024-01-01,88080
