observation_date,MEHOINUSOHA672N
1984-01-01,62330
1985-01-01,65630
1986-01-01,64410
1987-01-01,63940
1988-01-01,66360
1989-01-01,66510
1990-01-01,65590
1991-01-01,62820
1992-01-01,64590
1993-01-01,62790
1994-01-01,62560
1995-01-01,67040
1996-01-01,63680
1997-01-01,66130
1998-01-01,70270
1999-01-01,69850
2000-01-01,73460
2001-01-01,69870
2002-01-01,70490
2003-01-01,70410
2004-01-01,67950
2005-01-01,67800
2006-01-01,68420
2007-01-01,71360
2008-01-01,65800
2009-01-01,64580
2010-01-01,63710
2011-01-01,60130
2012-01-01,58630
2013-01-01,66250
2014-01-01,63900
2015-01-01,68650
2016-01-01,68920
2017-01-01,76140
2018-01-01,75800
2019-01-01,78370
2020-01-01,72420
2021-01-01,71970
2022-01-01,71980
2023-01-01,75680
2024-01-01,80520
