observation_date,MEHOINUSORA672N
1984-01-01,57680
1985-01-01,57070
1986-01-01,63540
1987-01-01,62110
1988-01-01,66380
1989-01-01,65380
1990-01-01,63990
1991-01-01,63670
1992-01-01,65660
1993-01-01,66500
1994-01-01,61780
1995-01-01,69790
1996-01-01,66340
1997-01-01,68160
1998-01-01,70530
1999-01-01,71850
2000-01-01,72660
2001-01-01,69010
2002-01-01,69040
2003-01-01,67360
2004-01-01,64700
2005-01-01,67730
2006-01-01,70190
2007-01-01,73010
2008-01-01,72520
2009-01-01,69110
2010-01-01,70260
2011-01-01,69390
2012-01-01,68410
2013-01-01,63960
2014-01-01,75780
2015-01-01,78360
2016-01-01,75500
2017-01-01,78410
2018-01-01,85070
2019-01-01,90190
2020-01-01,92180
2021-01-01,93980
2022-01-01,92510
2023-01-01,91030
2024-01-01,89700
