observation_date,MEHOINUSTXA672N
1984-01-01,62060
1985-01-01,61900
1986-01-01,61970
1987-01-01,61330
1988-01-01,59720
1989-01-01,59320
1990-01-01,61690
1991-01-01,58480
1992-01-01,57490
1993-01-01,57650
1994-01-01,60400
1995-01-01,61470
1996-01-01,61820
1997-01-01,64190
1998-01-01,64600
1999-01-01,68430
2000-01-01,66010
2001-01-01,68320
2002-01-01,66310
2003-01-01,63530
2004-01-01,65340
2005-01-01,63540
2006-01-01,64550
2007-01-01,66930
2008-01-01,65180
2009-01-01,66830
2010-01-01,65630
2011-01-01,66050
2012-01-01,68610
2013-01-01,67100
2014-01-01,69340
2015-01-01,72740
2016-01-01,74240
2017-01-01,75400
2018-01-01,73530
2019-01-01,81740
2020-01-01,82050
2021-01-01,77390
2022-01-01,79560
2023-01-01,81110
2024-01-01,81490
