observation_date,MEHOINUSVAA672N
1984-01-01,71500
1985-01-01,74110
1986-01-01,76210
1987-01-01,74410
1988-01-01,78100
1989-01-01,78190
1990-01-01,76650
1991-01-01,76210
1992-01-01,78560
1993-01-01,73120
1994-01-01,73940
1995-01-01,69500
1996-01-01,73290
1997-01-01,78610
1998-01-01,78270
1999-01-01,80820
2000-01-01,80640
2001-01-01,84010
2002-01-01,81970
2003-01-01,88630
2004-01-01,80710
2005-01-01,79630
2006-01-01,85140
2007-01-01,85980
2008-01-01,86900
2009-01-01,85160
2010-01-01,83820
2011-01-01,84330
2012-01-01,85390
2013-01-01,86030
2014-01-01,85150
2015-01-01,79200
2016-01-01,84840
2017-01-01,88840
2018-01-01,94890
2019-01-01,98550
2020-01-01,98610
2021-01-01,92160
2022-01-01,90790
2023-01-01,98990
2024-01-01,97720
