observation_date,MEHOINUSWAA672N
1984-01-01,67430
1985-01-01,62570
1986-01-01,68940
1987-01-01,67770
1988-01-01,77340
1989-01-01,73250
1990-01-01,70180
1991-01-01,71640
1992-01-01,69720
1993-01-01,71560
1994-01-01,65860
1995-01-01,68240
1996-01-01,68560
1997-01-01,81550
1998-01-01,85610
1999-01-01,80430
2000-01-01,72710
2001-01-01,71050
2002-01-01,74620
2003-01-01,76860
2004-01-01,78790
2005-01-01,77680
2006-01-01,81570
2007-01-01,84410
2008-01-01,79390
2009-01-01,85010
2010-01-01,77980
2011-01-01,76560
2012-01-01,82160
2013-01-01,83440
2014-01-01,76030
2015-01-01,86610
2016-01-01,89770
2017-01-01,89760
2018-01-01,98060
2019-01-01,99930
2020-01-01,97580
2021-01-01,100600
2022-01-01,95330
2023-01-01,95850
2024-01-01,97500
