observation_date,MEHOINUSWYA672N
1984-01-01,64200
1985-01-01,57560
1986-01-01,60420
1987-01-01,68450
1988-01-01,63200
1989-01-01,67650
1990-01-01,64380
1991-01-01,61260
1992-01-01,62130
1993-01-01,59090
1994-01-01,65090
1995-01-01,60490
1996-01-01,57860
1997-01-01,61160
1998-01-01,63640
1999-01-01,65880
2000-01-01,67760
2001-01-01,66410
2002-01-01,65670
2003-01-01,68850
2004-01-01,71650
2005-01-01,68590
2006-01-01,70120
2007-01-01,70840
2008-01-01,74770
2009-01-01,73860
2010-01-01,72480
2011-01-01,73410
2012-01-01,75990
2013-01-01,88040
2014-01-01,71680
2015-01-01,78470
2016-01-01,73830
2017-01-01,74700
2018-01-01,76920
2019-01-01,78940
2020-01-01,78500
2021-01-01,81580
2022-01-01,77920
2023-01-01,79200
2024-01-01,78680
