state,year,quarter,DebtValue,Median_H_Inc,mean_AGI,MinWage,HPI,Delinquency_pct,Mean_Mpct,Med_Mpct,mean_CPI,ForeclosureRate,DTI_ratio,time
AZ,2003,1,32.20991746641075,65865,47790.75,5.15,167.3875,2.9275832386002882,1.503269558028659,1.510494745202807,101.73448965977316,0.12,4.278792619558655,2003-01-01
AZ,2003,2,33.127779208392944,66110,48124.5,5.15,169.025,2.634332850820423,1.3649458098892016,1.3650130182240194,102.10510710844265,0.09,4.1467571658735025,2003-04-01
AZ,2003,3,33.52533500238436,66355,48458.25,5.15,170.66250000000002,2.858015868610316,1.226622061749744,1.2195312912452319,102.60544066414646,0.11,4.084442637141224,2003-07-01
AZ,2003,4,36.171005214505804,66600,48792,5.15,172.3,2.8175371903933906,1.0882983136102866,1.0740495642664443,102.62397153657994,0.12,3.7736796562026558,2003-10-01
AZ,2004,1,36.664912818096134,67250,49943.75,5.15,177.38,2.420680476812285,0.9499745654708293,0.9285678372876567,103.55051515825365,0.11,3.6724888338429436,2004-01-01
AZ,2004,2,38.060199999999995,67900,51095.5,5.15,182.46,2.2819796870848017,0.872078467605884,0.8446855666666861,105.03298495293159,0.1,3.4915322260800434,2004-04-01
AZ,2004,3,39.985962272938984,68550,52247.25,5.15,187.54000000000002,2.544336443363606,0.7941823697409388,0.7608032960457156,105.40360240160105,0.09,3.2812284665895843,2004-07-01
AZ,2004,4,40.716958140610544,69200,53399,5.15,192.62,2.4037556783086953,0.7162862718759936,0.6769210254247452,106.0336520643392,0.11,3.1827142224389475,2004-10-01
AZ,2005,1,41.31962217142857,69250,54672.25,5.15,207.89,2.168884442904075,0.6383901740110484,0.5930387548037747,106.70076347194424,0.09,3.0654658949746776,2005-01-01
AZ,2005,2,43.109364447494855,69300,55945.5,5.15,223.16,2.102788674425983,0.6186999732949359,0.5952930681941416,108.12764064932176,0.06,2.8734024307463324,2005-04-01
AZ,2005,3,44.230335829362375,69350,57218.75,5.15,238.43,1.8280051378212814,0.5990097725788235,0.5975473815845087,109.44333259209844,0.05,2.7402353372715336,2005-07-01
AZ,2005,4,46.12903657989228,69400,58492,5.15,253.7,1.6002927293168385,0.5793195718627111,0.5998016949748757,109.99925876510265,0.04,2.5721045331349024,2005-10-01
AZ,2006,1,49.04770714285714,69437.5,59075.5,5.15,265.03999999999996,1.775711919837814,0.5596293711465986,0.6020560083652426,110.59224668297385,0.05,2.3964477264367363,2006-01-01
AZ,2006,2,52.4255999555753,69475,59659,5.15,276.38,1.4481907725712677,0.9382913895518017,0.9426270925524292,112.46386479875471,0.05,2.2213100257313827,2006-04-01
AZ,2006,3,55.05204714253947,69512.5,60242.5,5.15,287.72,1.647602881355253,1.3169534079570049,1.2831981767396154,113.09391446149284,0.05,2.0959766911509488,2006-07-01
AZ,2006,4,56.14096983141082,69550,60826,5.15,299.06,1.8121900657194978,1.6956154263622079,1.623769260926802,112.13030909495221,0.08,2.036704232688043,2006-10-01
AZ,2007,1,58.17636094024604,69317.5,59791,5.550000000000001,298.1775,1.8333326756509105,2.074277444767411,1.9643403451139885,113.27310799792454,0.1,1.9927853526091475,2007-01-01
AZ,2007,2,60.326408774978276,69085,58756,5.95,297.29499999999996,2.3400649549183967,3.1420332106459155,2.9759241601117914,115.44492624712773,0.1,1.9490548771608192,2007-04-01
AZ,2007,3,62.4653033901965,68852.5,57721,6.35,296.41249999999997,3.0013497106335727,4.20978897652442,3.9875079751095943,115.76347194425914,0.18,1.9096202603404036,2007-07-01
AZ,2007,4,64.01045068582626,68620,56686,6.75,295.53,3.994121428571429,5.277544742402924,4.999091790107397,116.5867986064784,0.21,1.891141461700582,2007-10-01
AZ,2008,1,65.41238241085101,67907.5,56318.5,6.7875,286.5525,5.6391859531772575,6.3453005082814284,6.010675605105201,117.91212660292048,0.31,1.8433453005263334,2008-01-01
AZ,2008,2,66.26984126984127,67195,55951,6.825,277.575,5.86984497671324,7.816991155421658,7.4369843074475925,120.50070417315246,0.39,1.8122294133114978,2008-04-01
AZ,2008,3,64.51327433628319,66482.5,55583.5,6.862500000000001,268.59749999999997,6.3293158436214,9.288681802561886,8.863293009789984,121.90219405529612,0.47,1.8540112594969667,2008-07-01
AZ,2008,4,63.97884996695307,65770,55216,6.9,259.62,7.6468264462809925,10.760372449702116,10.289601712132377,118.45415462159956,0.54,1.8617718977730737,2008-10-01
AZ,2009,1,63.654397178752475,65422.5,54243,6.987500000000001,247.5925,10.382368421052632,12.232063096842344,11.715910414474768,117.86468756949078,0.55,1.8947635666432419,2009-01-01
AZ,2009,2,61.7465904091509,65075,53270,7.075,235.565,10.515299251870324,12.01381333610701,11.623195607037351,119.11440960640427,0.64,1.9784200230470514,2009-04-01
AZ,2009,3,59.06803762852767,64727.5,52297,7.1625,223.5375,11.24048925925926,11.795563575371677,11.530480799599932,119.9232821881254,0.57,2.0953641735699025,2009-07-01
AZ,2009,4,59.87399522050836,64380,51324,7.25,211.51,13.207215892597969,11.577313814636344,11.437765992162515,120.16455414720923,0.5,2.0950396066583576,2009-10-01
AZ,2010,1,57.1893298633702,64565,51691,7.25,204.57,12.256511186954873,11.35906405390101,11.345051184725097,120.64691275665258,0.5,2.1840733206153335,2010-01-01
AZ,2010,2,55.61135371179039,64750,52058,7.25,197.63,11.480498625834315,10.361788338402974,10.286785343139615,121.22007264101993,0.55,2.2366026067116738,2010-04-01
AZ,2010,3,54.169388199433925,64935,52425,7.25,190.69,10.73777733118971,9.364512622904938,9.228519501554132,121.33311096286413,0.54,2.286580392752163,2010-07-01
AZ,2010,4,52.90308655298942,65120,52792,7.25,183.75,9.875756425948593,8.367236907406902,8.17025365996865,121.69094210955451,0.53,2.3316602313976458,2010-10-01
AZ,2011,1,52.936129032258066,65210,53011.75,7.275,178.8,9.016939870730805,7.369961191908866,7.111987818383167,123.23011637387889,0.418,2.323752546888661,2011-01-01
AZ,2011,2,51.98354265915981,65300,53231.5,7.3,173.85,7.70005873531617,6.920292750219074,6.801490863787375,125.37840041509153,0.319,2.359818512789278,2011-04-01
AZ,2011,3,51.364425162689805,65390,53451.25,7.324999999999999,168.89999999999998,7.678787110942185,6.470624308529283,6.490993909191583,125.89059372915277,0.295,2.381721840823591,2011-07-01
AZ,2011,4,50.034594594594594,65480,53671,7.35,163.95,7.9201063048269305,6.020955866839492,6.180496954595791,125.69916981691497,0.306,2.438364339902889,2011-10-01
AZ,2012,1,49.69495166487648,64650,54717,7.425,165.7225,7.269726797216099,5.5712874251497,5.869999999999999,126.69928100214958,0.277,2.377573648327271,2012-01-01
AZ,2012,2,48.28,63820,55763,7.5,167.495,7.22,4.945340568862275,5.1625,127.74775776443555,0.27,2.3705188224023197,2012-04-01
AZ,2012,3,46.99,62990,56809,7.575,169.26749999999998,6.56,4.3193937125748505,4.455,128.02794455562966,0.231,2.359657762490545,2012-07-01
AZ,2012,4,46.91,62160,57855,7.65,171.04,5.53,3.6934468562874248,3.7474999999999996,128.07408642798904,0.171,2.2903648760165916,2012-10-01
AZ,2013,1,47,63790,57710,7.6875,176.23,5.03,3.0675,3.04,128.83014602327478,0.138,2.351817782972087,2013-01-01
AZ,2013,2,45.59,65420,57565,7.725,181.42000000000002,4.74,2.7112499999999997,2.685,129.52709213549772,0.114,2.492771315647701,2013-04-01
AZ,2013,3,44.47,67050,57420,7.7625,186.61,4.51,2.355,2.33,130.01667778519013,0.098,2.625841238466565,2013-07-01
AZ,2013,4,45.54,68680,57275,7.8,191.8,4.33,1.99875,1.975,129.6538433029427,0.087,2.633129158474081,2013-10-01
AZ,2014,1,45.56,67357.5,57939.75,7.825,196.76,3.68,1.6425,1.62,130.64079756874952,0.063,2.55167657908208,2014-01-01
AZ,2014,2,45.95,66035,58604.5,7.85,201.72,3.45,1.695,1.7075,132.18349269883626,0.058,2.452210238992462,2014-04-01
AZ,2014,3,47.24,64712.5,59269.25,7.875,206.68,3.17,1.7475,1.7950000000000002,132.33507523534206,0.053,2.311260288331636,2014-07-01
AZ,2014,4,46.69,63390,59934,7.9,211.64,3.48,1.8,1.8825000000000003,131.27195908383368,0.064,2.2652889907319556,2014-10-01
AZ,2015,1,46.19,64367.5,60495.5,7.9375,214.6225,3.99,1.8525,1.9700000000000002,130.5588911125936,0.047,2.303539209103007,2015-01-01
AZ,2015,2,46.72,65345,61057,7.9750000000000005,217.605,3.94,1.815625,1.90125,132.13290341709288,0.048,2.2907308598455387,2015-04-01
AZ,2015,3,47.32,66322.5,61618.5,8.012500000000001,220.58749999999998,3.58,1.77875,1.8325,132.47998665777183,0.044,2.2745999775251105,2015-07-01
AZ,2015,4,47.78,67300,62180,8.05,223.57,3.24,1.741875,1.76375,131.8840338003113,0.047,2.265260755410944,2015-10-01
