observation_date,MEANAGICT9A052NCEN
1989-01-01,41594
1990-01-01,42201
1991-01-01,43004
1992-01-01,46030
1993-01-01,46569
1994-01-01,47457
1995-01-01,50947
1996-01-01,54080
1997-01-01,57719
1998-01-01,63157
1999-01-01,72769
2000-01-01,79830
2001-01-01,75162
2002-01-01,72172
2003-01-01,74655
2004-01-01,81479
2005-01-01,86984
2006-01-01,91516
2007-01-01,93107
2008-01-01,90355
2009-01-01,83838
2010-01-01,90736
2011-01-01,90991
2012-01-01,97910
2013-01-01,95492
2014-01-01,101687
2015-01-01,102171
2016-01-01,99544
2017-01-01,106096
2018-01-01,108249
2019-01-01,102699
2020-01-01,105917
2021-01-01,130000
2022-01-01,127000
2023-01-01,130000
