observation_date,MEANAGIDC11A052NCEN
1989-01-01,32432
1990-01-01,33587
1991-01-01,34184
1992-01-01,35343
1993-01-01,36063
1994-01-01,38142
1995-01-01,38788
1996-01-01,41199
1997-01-01,39709
1998-01-01,47304
1999-01-01,56572
2000-01-01,61490
2001-01-01,59136
2002-01-01,58047
2003-01-01,61385
2004-01-01,67488
2005-01-01,72737
2006-01-01,77213
2007-01-01,77767
2008-01-01,76725
2009-01-01,74686
2010-01-01,77027
2011-01-01,80490
2012-01-01,90119
2013-01-01,85676
2014-01-01,91446
2015-01-01,95342
2016-01-01,95715
2017-01-01,100537
2018-01-01,111195
2019-01-01,104116
2020-01-01,113838
2021-01-01,132000
2022-01-01,136000
2023-01-01,138000
