observation_date,MEANAGIHI15A052NCEN
1989-01-01,31838
1990-01-01,34105
1991-01-01,33886
1992-01-01,35292
1993-01-01,35455
1994-01-01,35765
1995-01-01,36797
1996-01-01,37354
1997-01-01,38586
1998-01-01,39787
1999-01-01,43226
2000-01-01,45842
2001-01-01,44754
2002-01-01,44657
2003-01-01,46979
2004-01-01,50109
2005-01-01,53891
2006-01-01,55054
2007-01-01,54371
2008-01-01,54557
2009-01-01,53443
2010-01-01,53760
2011-01-01,54554
2012-01-01,58063
2013-01-01,58212
2014-01-01,61262
2015-01-01,63843
2016-01-01,65646
2017-01-01,68689
2018-01-01,71333
2019-01-01,68258
2020-01-01,69585
2021-01-01,83500
2022-01-01,85500
2023-01-01,87500
