observation_date,MEANAGIID16A052NCEN
1989-01-01,26380
1990-01-01,27498
1991-01-01,28141
1992-01-01,29965
1993-01-01,30891
1994-01-01,32123
1995-01-01,33603
1996-01-01,34884
1997-01-01,36326
1998-01-01,38226
1999-01-01,41689
2000-01-01,45704
2001-01-01,42855
2002-01-01,42187
2003-01-01,43121
2004-01-01,46570
2005-01-01,49711
2006-01-01,53574
2007-01-01,49999
2008-01-01,49145
2009-01-01,45272
2010-01-01,47149
2011-01-01,48527
2012-01-01,52969
2013-01-01,52841
2014-01-01,56129
2015-01-01,58004
2016-01-01,59571
2017-01-01,62588
2018-01-01,67447
2019-01-01,66092
2020-01-01,72274
2021-01-01,89000
2022-01-01,87500
2023-01-01,90000
