observation_date,MEANAGIIL17A052NCEN
1989-01-01,33691
1990-01-01,34870
1991-01-01,35204
1992-01-01,37149
1993-01-01,38108
1994-01-01,39681
1995-01-01,41813
1996-01-01,44042
1997-01-01,46613
1998-01-01,50009
1999-01-01,55412
2000-01-01,58901
2001-01-01,56157
2002-01-01,55304
2003-01-01,56357
2004-01-01,60262
2005-01-01,63147
2006-01-01,66592
2007-01-01,65459
2008-01-01,66700
2009-01-01,61814
2010-01-01,64828
2011-01-01,65836
2012-01-01,71798
2013-01-01,70577
2014-01-01,74576
2015-01-01,77326
2016-01-01,77228
2017-01-01,80162
2018-01-01,85247
2019-01-01,80837
2020-01-01,82574
2021-01-01,101000
2022-01-01,101000
2023-01-01,104000
