observation_date,MEANAGIKS20A052NCEN
1989-01-01,30050
1990-01-01,31022
1991-01-01,31327
1992-01-01,33123
1993-01-01,33911
1994-01-01,34901
1995-01-01,37015
1996-01-01,38903
1997-01-01,41427
1998-01-01,44008
1999-01-01,47230
2000-01-01,49530
2001-01-01,47818
2002-01-01,47302
2003-01-01,48036
2004-01-01,50562
2005-01-01,53495
2006-01-01,56617
2007-01-01,56212
2008-01-01,58073
2009-01-01,55243
2010-01-01,58118
2011-01-01,59645
2012-01-01,64363
2013-01-01,63839
2014-01-01,67126
2015-01-01,67447
2016-01-01,66946
2017-01-01,69406
2018-01-01,73929
2019-01-01,70974
2020-01-01,73607
2021-01-01,87500
2022-01-01,88000
2023-01-01,91000
