observation_date,MEANAGIME23A052NCEN
1989-01-01,27967
1990-01-01,28163
1991-01-01,28530
1992-01-01,29858
1993-01-01,30213
1994-01-01,31159
1995-01-01,32369
1996-01-01,33900
1997-01-01,35971
1998-01-01,38466
1999-01-01,41519
2000-01-01,44760
2001-01-01,43187
2002-01-01,43248
2003-01-01,44263
2004-01-01,46701
2005-01-01,48535
2006-01-01,50476
2007-01-01,46021
2008-01-01,50724
2009-01-01,49391
2010-01-01,51240
2011-01-01,51778
2012-01-01,54998
2013-01-01,54953
2014-01-01,57498
2015-01-01,58993
2016-01-01,60601
2017-01-01,62626
2018-01-01,65465
2019-01-01,64672
2020-01-01,68055
2021-01-01,79000
2022-01-01,80000
2023-01-01,84500
