observation_date,MEANAGIMI26A052NCEN
1989-01-01,32835
1990-01-01,33271
1991-01-01,33595
1992-01-01,35381
1993-01-01,36348
1994-01-01,38487
1995-01-01,40368
1996-01-01,42214
1997-01-01,44592
1998-01-01,47549
1999-01-01,51002
2000-01-01,53152
2001-01-01,50897
2002-01-01,50270
2003-01-01,51229
2004-01-01,53155
2005-01-01,54517
2006-01-01,54877
2007-01-01,53523
2008-01-01,54379
2009-01-01,50715
2010-01-01,53019
2011-01-01,54105
2012-01-01,58572
2013-01-01,58575
2014-01-01,61567
2015-01-01,63531
2016-01-01,65006
2017-01-01,67845
2018-01-01,70976
2019-01-01,66909
2020-01-01,68633
2021-01-01,82000
2022-01-01,83000
2023-01-01,87000
