observation_date,MEANAGINJ34A052NCEN
1989-01-01,39205
1990-01-01,40199
1991-01-01,40259
1992-01-01,43055
1993-01-01,43680
1994-01-01,44931
1995-01-01,47518
1996-01-01,50245
1997-01-01,53449
1998-01-01,57636
1999-01-01,64741
2000-01-01,70215
2001-01-01,67069
2002-01-01,65647
2003-01-01,67065
2004-01-01,71568
2005-01-01,75093
2006-01-01,78983
2007-01-01,79043
2008-01-01,80528
2009-01-01,75722
2010-01-01,78126
2011-01-01,79704
2012-01-01,84547
2013-01-01,84322
2014-01-01,88544
2015-01-01,90541
2016-01-01,91389
2017-01-01,95764
2018-01-01,98360
2019-01-01,96276
2020-01-01,96314
2021-01-01,116000
2022-01-01,116000
2023-01-01,119000
