observation_date,MEANAGINM35A052NCEN
1989-01-01,24556
1990-01-01,25217
1991-01-01,25835
1992-01-01,26991
1993-01-01,27920
1994-01-01,28892
1995-01-01,29988
1996-01-01,31126
1997-01-01,32543
1998-01-01,34428
1999-01-01,36982
2000-01-01,35564
2001-01-01,39265
2002-01-01,39081
2003-01-01,40085
2004-01-01,42580
2005-01-01,45268
2006-01-01,47192
2007-01-01,46342
2008-01-01,47529
2009-01-01,45424
2010-01-01,47595
2011-01-01,48180
2012-01-01,51190
2013-01-01,50881
2014-01-01,53454
2015-01-01,53458
2016-01-01,53842
2017-01-01,55484
2018-01-01,58963
2019-01-01,56433
2020-01-01,56507
2021-01-01,66000
2022-01-01,68000
2023-01-01,72000
