observation_date,MEANAGINV32A052NCEN
1989-01-01,31494
1990-01-01,32689
1991-01-01,32717
1992-01-01,34665
1993-01-01,35031
1994-01-01,36278
1995-01-01,37967
1996-01-01,40473
1997-01-01,42829
1998-01-01,45765
1999-01-01,51707
2000-01-01,55985
2001-01-01,53009
2002-01-01,52524
2003-01-01,54732
2004-01-01,62926
2005-01-01,66719
2006-01-01,68223
2007-01-01,63684
2008-01-01,58942
2009-01-01,53298
2010-01-01,54668
2011-01-01,54397
2012-01-01,60667
2013-01-01,58179
2014-01-01,61978
2015-01-01,64362
2016-01-01,65983
2017-01-01,69975
2018-01-01,76557
2019-01-01,68823
2020-01-01,73473
2021-01-01,98500
2022-01-01,97000
2023-01-01,98000
