observation_date,MEANAGINY36A052NCEN
1989-01-01,35467
1990-01-01,36426
1991-01-01,36537
1992-01-01,38592
1993-01-01,38785
1994-01-01,39605
1995-01-01,41552
1996-01-01,43735
1997-01-01,45448
1998-01-01,49058
1999-01-01,58099
2000-01-01,61397
2001-01-01,59929
2002-01-01,58047
2003-01-01,59373
2004-01-01,64645
2005-01-01,68452
2006-01-01,72843
2007-01-01,73162
2008-01-01,73175
2009-01-01,68226
2010-01-01,71938
2011-01-01,73466
2012-01-01,79724
2013-01-01,78390
2014-01-01,83945
2015-01-01,86251
2016-01-01,84762
2017-01-01,90784
2018-01-01,93589
2019-01-01,88073
2020-01-01,88811
2021-01-01,111000
2022-01-01,108000
2023-01-01,112000
