observation_date,MEANAGIOK40A052NCEN
1989-01-01,26297
1990-01-01,27217
1991-01-01,27456
1992-01-01,28574
1993-01-01,28818
1994-01-01,29743
1995-01-01,30598
1996-01-01,32035
1997-01-01,33767
1998-01-01,35888
1999-01-01,38850
2000-01-01,41588
2001-01-01,41723
2002-01-01,40876
2003-01-01,42079
2004-01-01,45158
2005-01-01,48181
2006-01-01,52345
2007-01-01,49670
2008-01-01,54701
2009-01-01,49957
2010-01-01,52852
2011-01-01,55768
2012-01-01,61292
2013-01-01,59875
2014-01-01,63298
2015-01-01,62436
2016-01-01,60287
2017-01-01,62971
2018-01-01,66405
2019-01-01,60137
2020-01-01,60017
2021-01-01,72000
2022-01-01,76500
2023-01-01,80500
