observation_date,MEANAGIOR41A052NCEN
1989-01-01,28916
1990-01-01,30004
1991-01-01,30427
1992-01-01,32269
1993-01-01,33396
1994-01-01,34581
1995-01-01,36365
1996-01-01,38295
1997-01-01,41103
1998-01-01,42879
1999-01-01,46663
2000-01-01,50130
2001-01-01,47276
2002-01-01,46487
2003-01-01,47669
2004-01-01,50583
2005-01-01,53365
2006-01-01,56429
2007-01-01,54224
2008-01-01,54283
2009-01-01,51481
2010-01-01,53722
2011-01-01,55443
2012-01-01,59461
2013-01-01,60112
2014-01-01,63648
2015-01-01,66806
2016-01-01,68743
2017-01-01,72410
2018-01-01,75996
2019-01-01,71022
2020-01-01,75368
2021-01-01,90500
2022-01-01,90500
2023-01-01,92500
