observation_date,MEANAGIPA42A052NCEN
1989-01-01,30793
1990-01-01,31665
1991-01-01,32114
1992-01-01,34014
1993-01-01,34632
1994-01-01,35663
1995-01-01,37613
1996-01-01,39570
1997-01-01,41642
1998-01-01,44581
1999-01-01,47990
2000-01-01,50829
2001-01-01,49272
2002-01-01,48858
2003-01-01,50287
2004-01-01,53186
2005-01-01,56174
2006-01-01,58334
2007-01-01,56508
2008-01-01,59624
2009-01-01,57204
2010-01-01,59886
2011-01-01,61053
2012-01-01,65402
2013-01-01,64810
2014-01-01,68334
2015-01-01,70536
2016-01-01,70245
2017-01-01,73724
2018-01-01,77183
2019-01-01,74527
2020-01-01,75810
2021-01-01,91000
2022-01-01,92500
2023-01-01,96000
