observation_date,MEANAGISC45A052NCEN
1989-01-01,26390
1990-01-01,27146
1991-01-01,27432
1992-01-01,28790
1993-01-01,29379
1994-01-01,30546
1995-01-01,32110
1996-01-01,33481
1997-01-01,34960
1998-01-01,37683
1999-01-01,40510
2000-01-01,42227
2001-01-01,41762
2002-01-01,41598
2003-01-01,42727
2004-01-01,45360
2005-01-01,48201
2006-01-01,50854
2007-01-01,46990
2008-01-01,48957
2009-01-01,46843
2010-01-01,48584
2011-01-01,49153
2012-01-01,53011
2013-01-01,53450
2014-01-01,56011
2015-01-01,58178
2016-01-01,59886
2017-01-01,62882
2018-01-01,66153
2019-01-01,64052
2020-01-01,65518
2021-01-01,78000
2022-01-01,81000
2023-01-01,84000
