observation_date,MEANAGITN47A052NCEN
1989-01-01,27109
1990-01-01,27727
1991-01-01,28358
1992-01-01,30399
1993-01-01,30984
1994-01-01,32222
1995-01-01,33829
1996-01-01,35438
1997-01-01,36696
1998-01-01,39501
1999-01-01,42420
2000-01-01,44094
2001-01-01,43518
2002-01-01,43386
2003-01-01,44810
2004-01-01,47910
2005-01-01,49811
2006-01-01,52516
2007-01-01,48382
2008-01-01,50695
2009-01-01,48507
2010-01-01,50726
2011-01-01,51332
2012-01-01,55822
2013-01-01,55263
2014-01-01,58185
2015-01-01,60453
2016-01-01,62094
2017-01-01,64505
2018-01-01,68902
2019-01-01,65430
2020-01-01,67741
2021-01-01,84000
2022-01-01,86500
2023-01-01,91000
