observation_date,MEANAGIVA51A052NCEN
1989-01-01,33837
1990-01-01,34510
1991-01-01,34861
1992-01-01,36607
1993-01-01,37337
1994-01-01,38528
1995-01-01,40348
1996-01-01,42387
1997-01-01,44315
1998-01-01,48581
1999-01-01,53536
2000-01-01,56629
2001-01-01,55531
2002-01-01,55555
2003-01-01,57286
2004-01-01,61642
2005-01-01,65561
2006-01-01,68816
2007-01-01,65961
2008-01-01,68554
2009-01-01,66810
2010-01-01,69866
2011-01-01,71113
2012-01-01,74841
2013-01-01,73357
2014-01-01,76989
2015-01-01,78864
2016-01-01,79718
2017-01-01,83629
2018-01-01,87617
2019-01-01,84673
2020-01-01,86835
2021-01-01,103000
2022-01-01,104000
2023-01-01,108000
