observation_date,MEANAGIVT50A052NCEN
1989-01-01,29217
1990-01-01,29353
1991-01-01,29383
1992-01-01,30810
1993-01-01,31392
1994-01-01,32219
1995-01-01,33640
1996-01-01,35567
1997-01-01,37606
1998-01-01,40567
1999-01-01,43742
2000-01-01,47200
2001-01-01,45669
2002-01-01,45303
2003-01-01,45970
2004-01-01,49206
2005-01-01,51899
2006-01-01,53980
2007-01-01,53134
2008-01-01,54211
2009-01-01,51616
2010-01-01,52735
2011-01-01,54934
2012-01-01,57566
2013-01-01,58173
2014-01-01,61762
2015-01-01,62359
2016-01-01,62754
2017-01-01,65948
2018-01-01,68714
2019-01-01,68906
2020-01-01,70189
2021-01-01,83500
2022-01-01,85000
2023-01-01,88000
