observation_date,MEANAGIWA53A052NCEN
1989-01-01,31842
1990-01-01,33614
1991-01-01,34282
1992-01-01,36626
1993-01-01,36809
1994-01-01,37816
1995-01-01,39612
1996-01-01,41965
1997-01-01,45093
1998-01-01,49794
1999-01-01,57818
2000-01-01,59764
2001-01-01,54698
2002-01-01,53806
2003-01-01,55066
2004-01-01,58772
2005-01-01,62041
2006-01-01,66536
2007-01-01,65753
2008-01-01,65138
2009-01-01,60906
2010-01-01,63547
2011-01-01,65604
2012-01-01,71758
2013-01-01,71481
2014-01-01,76600
2015-01-01,79722
2016-01-01,81856
2017-01-01,87420
2018-01-01,94996
2019-01-01,91849
2020-01-01,96380
2021-01-01,121000
2022-01-01,114000
2023-01-01,120000
